url,ProductName,MarketerName,Uses,Features,Directions,Safety
https://www.1mg.com/otc/volini-pain-relief-gel-for-sprain-muscle-joint-neck-low-back-pain-bone-joint-muscle-care-otc138818,Volini Pain Relief Gel,Sun Pharmaceutical Industries Ltd,,"Diclofenac Diethylamine Equivalent to Diclofenac Sodium 1% w/w, Methyl Salicylate IP, Menthol IP, Virgin Linseed Oil BP, Preservative, Benzyl Alcohol IP, Gel Base, The spray can offer relief when in pain and supports bone, muscle and joint care., It is effective for pain in the joints, knees, back, shoulders, and neck, It can work great on sports injuries such as muscle pulls, sprains, and strain, It provides instant and long-lasting pain relief from knee pain, joint pain, back pain, calf pain, and neck pain","The Volini pain relief bottle should be shaken well before spraying, Hold the spray bottle at a 5cm distance from the affected area and spray, You can use the spray about three to four times daily or as recommened by your physician","Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, The Volini pain relief spray is meant for external application only, Use Volini per the doctor’s guidance, and be careful not to use more than the given dosage, Do not use the spray on open wounds or surfaces of the skin that are ruptured, The spray should not be ingested or come in contact with the eyes and mucous membranes, Avoid using the spray near a naked flame, Do not burn or make a hole in the bottle even after the spray is over"
https://www.1mg.com/otc/collaflex-pro-plus-joint-health-supplement-capsule-otc923521,Collaflex Pro Plus Joint Health Supplement Capsule,Universal NutriScience,,"Curcumin (As 95% Curcuminoids) 200 mg, Mobilee (60-75% Sodium hyaluronate) 80 mg UC II (Undenatured Collagen Type II) 40 mg, Soya Oil, Gelatin Food Grade Humectants, Sodium Hyaluronate, Collaflex Pro Plus Capsule contains collagen, hyaluronic acid, and curcumin, which have been shown to improve joint comfort, flexibility, and mobility, Curcumin, an active ingredient in turmeric, has anti-inflammatory properties that can help reduce joint pain and stiffness, Collagen is the main structural protein in cartilage, and taking a collagen supplement like Collaflex Pro Plus Capsule may help rebuild and support cartilage health, Collagen is also an essential component of the skin, and taking a collagen supplement may improve skin health, reducing wrinkles and fine lines, Capsule",,"Read the label carefully before use, Keep out of the reach of children, Store in a cool and dry place, Not to exceed the stated recommended daily usage, This product is not intended to diagnose, manage, cure or reduce the risk of any disease"
https://www.1mg.com/otc/volini-maxx-pain-relief-spray-for-back-neck-joint-muscle-pain-bone-joint-muscle-care-otc457560,Volini Maxx Spray,Sun Pharmaceutical Industries Ltd,,"Diclofenac Diethylamine IP Equivalent to Dicoflenac Sodium, Methyl Salicylate IP, Menthol IP, Provides instant pain relief and supports bone, joint and muscle care, A unique formulation of 2% diclofenac makes it 100% stronger than other sprays, Provides effective relief from severe neck and back pain, Helps in relieving musculoskeletal and joint pain, Effective in healing pain due to strain and sprain, Useful in case of sports injuries, Has a unique 360-degree delivery mechanism that ensures standardised drug delivery, It provides instant and long-lasting pain relief from knee pain, joint pain, back pain, calf pain, and neck pain","Shake well before each use. Spray the contents from 5 cm distance on the affected areas 3-4 times in a day or, as directed by the physician.","Read the label carefully before use, Store in a cool and dry place away from direct sunlight, Keep out of reach of the children, Do not exceed the recommended dosage, For external use only, Should be applied only to intact skin surfaces and not to skin wounds and open injuries, Should not come into contact with eyes, mucous membranes and should not be ingested, Store in a cool and dry place"
https://www.1mg.com/otc/mcp-electric-heating-pad-blue-otc640000,MCP Electric Heating Pad Blue,Global Trade Links,"It is an electric heating back that can relieve cervical pain, low back pain, joint pain and leg pain.","4 layers of insulation on both sides of the heating pad ensure comfort and safety, It has an in-built twin thermostat that helps maintain constant temperature, It has three comfortable heat levels controllable by a single switch, Comes with a controller switch with indicator, A velcro strap on the belt helps secure the pad in place","Plug the power cord into an electrical outlet (240 V AC), You can switch between low (45℃), medium (65℃) and high (85℃) heat levels, Wait for 4 to 5 minutes after plugging in the power cord, Place the heating pad on the affected area and secure it using the stretchable belt, Turn the heating belt off and unplug the power cord after use","Read the label carefully before use, Do not use it with wet hands, Do not fold the heating pad while in use, Keep out of reach of children"
https://www.1mg.com/otc/dynapar-qps-solution-otc139011,Dynapar,Troikaa Pharmaceuticals Ltd,,"Diclofenac, Diethylamine BP Equivalent to Dicoflenac Sodium IP, Absolute Alcohol IP (In a tropical solution base), Dynapar QPS contains Diclofenac which reduces inflammation while Methyl Salicylate and Menthol penetrate deep into the affected area and act as mild analgesics, Dynapar QPS is indicated for relief from pain, swelling and inflammation due to arthritis, Dynapar QPS provides superior pain relief after topical application by enhancing the penetration of diclofenac through the skin, Dynapar QPS goes deep to the site of pain in the joints and muscles so it provides quick and effective relief from pain, Solution",Use as directed by the physician.,"Read the label carefully before use, Do not exceed the recommended dosage, Store in a cool and dry place, Keep it away from the reach of children"
https://www.1mg.com/otc/pankajakasthuri-orthoherb-ayurvedic-oil-with-amla-for-joint-pain-relief-otc356687,Pankajakasthuri Orthoherb Oil,Pankajakasthuri Herbals India (P) Ltd.,,"Vasa (Adhatoda vasica, Rt, Dct), Eranda (Ricinus communis, Rt, Dct), Bilwa (Aegle marmelos, Rt, Dct), Thwak (Cinnamomum zeylanicum, St. Bk, Dct), Maricha (Piper nigrum, Dr. Fr, Dct), Lavanga (Syzygium aromaticum, Dr. Fr, Dct), Jati (Myristica fragrans, Pp, Dct), Pata (Cyclea peltata, Rt, Dct), Nimba (Azadirachta indica, Rt, bk, Dct), Sahachara (Strobilanthes ciliatus, Rt, Dct), Nirgundi (Vitex negundo, Lf, Dct), Bala (Sida retusa, Rt, Dct), Punarnava (Boerhavia diffusa, Pl, Dct), Gunja (Abrus precatorius, Rt, Dct), Dusparsa (Tragia involucrata, Rt, Dct) 2 g each. Amalaki (Phyllanthus emblica, Dr. Fr, Pst), Manjishta (Rubia cordifolia, Rt, Pst), Guggulu (Balsamodendron mukul, Lx, Pst), Chitraka (Plumbago zeylanica, Rt, Pst) 2.5 g each. Kera thaila (Cocos nucifera, Oil) 27.50 ml, Eranda thaila (Ricinus communis, Oil) 82.50 ml, Eucalyptus Oil (Eucalyptus globulus, Oil), 100 ml, Liquid, The oil has anti-inflammatory and analgesic properties, It imparts muscle tone and lubricates the joints, It also imparts firmness to the limbs, It can help stimulate circulation, It helps the lymphatic functioning for detoxification",,"Read the label carefully before use, Store in a cool and dry place, Keep out of reach of children"
https://www.1mg.com/otc/jointace-trio-capsule-for-pain-relief-supports-flexible-joints-bone-joint-muscle-care-otc533457,Jointace Trio Capsule,Meyer Organics Pvt Ltd,,"Aflapin, Native (Undenatured) Collagen Type Il, Mobilee, Diluent [Dibasic Calcium Phosphate (INS 341 (1))], Anti-Caking Agent [Talc {INS 553 (lil))], Glidant [Magnesium Stearate (INS 470 (iii)], Ingredients Of Capsule Shell [Gelatin (INS 428)]., Jointace Trio improves flexibility and physical function of the body by supporting bone, muscle and joint care, Jointace Trio protects the cartilage, which is the soft tissue that cushions joints, It is useful for pain-relief, osteoporosis, muscle strength, ageing skin and many other conditions, Capsule",Use as directed by your healthcare professional.,"Read the label carefully before use, Do not exceed the recommended dosage, Keep it away from the reach of children"
https://www.1mg.com/otc/iodex-balm-for-pain-relief-from-headaches-sprains-neck-shoulder-joints-back-muscular-pain-otc370706,Moyzen Moisturising Liquid,GlaxoSmithKline Consumer Healthcare,,Liquid,,
https://www.1mg.com/otc/miduty-nerve-pain-relief-capsule-alpha-lipoic-acid-b-vitamins-neuropathy-support-otc918605,Miduty Nerve Pain Relief Capsule,Midvision Pvt Ltd,,,Use as directed on the label or as advised by your healthcare provider,
https://www.1mg.com/otc/himalaya-wellness-himalaya-rumalaya-pain-balm-fast-relief-from-headache-and-neck-pain-ayurvedic-otc326446,Himalaya Wellness Pain Balm Strong,Himalaya Wellness Company,,"Oils: Pudina (Mentha arvensis)"" Lf. 150 mg, Gandhapura (Gaultheria Fragrantissima) L. 150 mg, Karpura (Cinnamomum camphora) Bk.60 mg. Sarala (Pinus Roxburghii Oleo resin 50mg, Tailapatra (Eucalyptus globulus)"" Lf.50mg, Jatiphala (Myristica fragrans Sa. Kr. 10 mg, Cream",,
https://www.1mg.com/otc/dr-ortho-ayurvedic-medicine-pain-relief-oil-bone-joint-muscle-care-oil-otc327460,Dr Ortho an Ayurvedic Medicine Oil,Dr Ortho Ayurvedic,,Syrup,,
https://www.1mg.com/otc/pravek-maha-balvardhak-oil-otc601978,Pravek Maha Balvardhak Oil,Pravek Kalp Private Limited,,,Massage adequate quantity of oil gently on the affected areas till it is absorbed. Use 2-3 times in a day for better results or as directed by the physician.,
https://www.1mg.com/otc/nanofast-4x-pain-relief-spray-otc492005,,Pharmed Ltd,,,,
https://www.1mg.com/otc/moov-cool-therapy-spray-otc964108,Moov Cool Therapy Spray,Reckitt Benckiser Healthcare Pvt. Ltd.,,"Spray., 35g.",,
https://www.1mg.com/otc/jiva-pain-calm-oil-pain-reliever-for-joint-pain-back-pain-frozen-shoulder-sprain-muscle-soreness-with-knee-cap-free-otc651981,Jiva Pain Calm Oil,Jiva Ayurvedic Pharmacy Ltd,,,,
https://www.1mg.com/otc/iodex-rapid-action-pain-relief-spray-otc647095,Iodex Rapid Action Spray,GlaxoSmithKline Consumer Healthcare,,,,
https://www.1mg.com/otc/volini-maxx-pain-relief-spray-for-back-neck-joint-muscle-pain-bone-joint-muscle-care-otc457561,Volini Maxx Spray,Sun Pharmaceutical Industries Ltd,,"Diclofenac Diethylamine IP Equivalent to Dicoflenac Sodium, Methyl Salicylate IP, Menthol IP, Provides instant pain relief and supports bone, joint and muscle care, A unique formulation of 2% diclofenac makes it 100% stronger than other sprays, Provides effective relief from severe neck and back pain, Helps in relieving musculoskeletal and joint pain, Effective in healing pain due to strain and sprain, Useful in case of sports injuries, Has a unique 360-degree delivery mechanism that ensures standardised drug delivery, It provides instant and long-lasting pain relief from knee pain, joint pain, back pain, calf pain, and neck pain","Shake well before each use. Spray the contents from 5 cm distance on the affected areas 3-4 times in a day or, as directed by the physician.","Read the label carefully before use, Store in a cool and dry place away from direct sunlight, Keep out of reach of the children, Do not exceed the recommended dosage, For external use only, Should be applied only to intact skin surfaces and not to skin wounds and open injuries, Should not come into contact with eyes, mucous membranes and should not be ingested, Store in a cool and dry place"
https://www.1mg.com/otc/sbl-natrum-sulphuricum-0-21-lm-otc366292,,SBL Pvt Ltd,,,,
https://www.1mg.com/otc/volini-pain-relief-gel-for-sprain-muscle-joint-neck-low-back-pain-bone-joint-muscle-care-otc67180,Volini Pain Relief Gel,Sun Pharmaceutical Industries Ltd,,"Diclofenac Diethylamine Equivalent to Diclofenac Sodium 1% w/w, Methyl Salicylate IP, Menthol IP, Virgin Linseed Oil BP, Preservative, Benzyl Alcohol IP, Gel Base, The spray can offer relief when in pain and supports bone, muscle and joint care., It is effective for pain in the joints, knees, back, shoulders, and neck, It can work great on sports injuries such as muscle pulls, sprains, and strain, It provides instant and long-lasting pain relief from knee pain, joint pain, back pain, calf pain, and neck pain","The Volini pain relief bottle should be shaken well before spraying, Hold the spray bottle at a 5cm distance from the affected area and spray, You can use the spray about three to four times daily or as recommened by your physician","Read the label carefully before use, Store in a cool and dry place, away from sunlight, Keep out of reach of children, The Volini pain relief spray is meant for external application only, Use Volini per the doctor’s guidance, and be careful not to use more than the given dosage, Do not use the spray on open wounds or surfaces of the skin that are ruptured, The spray should not be ingested or come in contact with the eyes and mucous membranes, Avoid using the spray near a naked flame, Do not burn or make a hole in the bottle even after the spray is over"
https://www.1mg.com/otc/jiva-pain-calm-oil-pain-reliever-for-joint-pain-back-pain-frozen-shoulder-sprain-muscle-soreness-otc651626,Jiva Pain Calm Oil,Jiva Ayurvedic Pharmacy Ltd,,,,
https://www.1mg.com/otc/moov-pain-relief-ointment-for-back-pain-joint-pain-knee-pain-muscle-pain-otc298649,"Moov Pain Relief Ointment for Back Pain, Joint Pain, Knee Pain, Muscle Pain",Reckitt Benckiser Healthcare Pvt. Ltd.,,"Ointment, 50g",,
https://www.1mg.com/otc/zandu-ultra-power-balm-for-pain-relief-from-strong-headache-bodyaches-cold-bone-joint-muscle-care-otc302046,"Zandu Ultra Power Balm / For Pain Relief from Strong Headache, Bodyaches and Cold / Bone, Joint and Muscle Care",Zandu Pharmaceutical Works Ltd,,"Composition in w/w: Mentha sp-Satva 17%, Gaultheria fragrantissima 25%, Syzygium aromaticum. 5.0%, Melaleuca leucadendron 5.0%, Trachyspermum ammi-Satva 0.5%, Eucalyptus globulus 0.2%, Myristica fragrans 0.1 %, Capsicum annuum-Satva 0.02%, Toney Red, Quinazarine green SS., Base qs., 8 ml, Balm",,
https://www.1mg.com/otc/moov-pain-relief-ointment-for-back-pain-joint-pain-knee-pain-muscle-pain-otc377375,"Moov Pain Relief Ointment for Back Pain, Joint Pain, Knee Pain, Muscle Pain",Reckitt Benckiser Healthcare Pvt. Ltd.,,"Ointment, 30g",,
https://www.1mg.com/otc/longlife-oct-007-ankle-support-xl-blue-otc490865,Longlife OCT 007 Ankle Support,Veridicus Health Care Pvt Ltd,It is used to provide optimal comfort and a great fit to help reduce ankle pain.,,Apply the anklet in a way it comes exactly in the right position on the heel and then wrap the elastic in such a way that it is comfortable to wear.,"Read the label carefully before use, Keep out of reach of children, Keep away from physical damage"
